Sample Type,Z in mm,Contrast
8um_0.50r,30.652,0.16523061054778576
8um_0.50r,30.702,0.1675430694587561
8um_0.50r,33.602,0.25952884971740164
8um_0.50r,34.152,0.31827798986629285
8um_0.50r,33.902,0.2763742079461552
8um_0.50r,31.152,0.1662786696688117
8um_0.50r,31.002,0.1693804987597256
8um_0.50r,29.652,0.15844405644155193
8um_0.50r,29.702,0.16544293131839832
8um_0.50r,32.052,0.18941259316144377
8um_0.50r,32.102,0.19394996741101983
8um_0.50r,30.802,0.1637543959016932
8um_0.50r,30.952,0.1703265744976527
8um_0.50r,32.752,0.20950062094598926
8um_0.50r,32.602,0.20192233282532798
8um_0.50r,31.652,0.17345138983078598
8um_0.50r,31.702,0.1697242995996466
8um_0.50r,33.802,0.25608366637268953
8um_0.50r,34.052,0.3011263042328394
8um_0.50r,33.702,0.24459895130303552
8um_0.50r,32.902,0.21092339973483873
8um_0.50r,32.852,0.21192388558317743
8um_0.50r,30.152,0.16393597572295748
8um_0.50r,30.002,0.1591561018329989
8um_0.50r,33.102,0.2253707740844513
8um_0.50r,31.802,0.17913404964132004
8um_0.50r,31.952,0.1872603406198009
8um_0.50r,31.752,0.1764083023645749
8um_0.50r,31.602,0.17484784716936513
8um_0.50r,33.502,0.2363053749154015
8um_0.50r,32.652,0.2058740305072094
8um_0.50r,32.702,0.20917225568257522
8um_0.50r,34.352,0.3665000106392168
8um_0.50r,34.552,0.36303420530269254
8um_0.50r,34.452,0.39626434518789894
8um_0.50r,33.202,0.22330662539460075
8um_0.50r,33.002,0.22225602382137097
8um_0.50r,34.252,0.3399082268489025
8um_0.50r,31.902,0.182448207802788
8um_0.50r,31.852,0.17522894370898173
8um_0.50r,32.802,0.19997647670543828
8um_0.50r,32.952,0.21173124147849065
8um_0.50r,30.052,0.1651345909565893
8um_0.50r,30.102,0.16003907599015377
8um_0.50r,30.752,0.16784208278442597
8um_0.50r,30.602,0.1660066246046497
8um_0.50r,29.902,0.1639430356009603
8um_0.50r,29.852,0.1556808443823725
8um_0.50r,33.302,0.23288713988039192
8um_0.50r,32.152,0.1894704416945233
8um_0.50r,32.002,0.18457300882677136
8um_0.50r,30.902,0.16308037704522385
8um_0.50r,30.852,0.16790454807632677
8um_0.50r,31.052,0.1637327591699966
8um_0.50r,31.102,0.16313609792588407
8um_0.50r,33.402,0.2388864944266805
8um_0.50r,29.752,0.16116403489529485
